corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	reflex
persian	g1-f-05	0001	#	#	#	#				
persian	g1-f-05	0001	Yek	one	ln_deti	ln_deti				
persian	g1-f-05	0001	zamine	land=ezafe	np:s	np		s		
persian	g1-f-05	0001	xeyli	very	rn_lex	rn_lex				
persian	g1-f-05	0001	bozorgi	big	rn_lex	rn_lex				
persian	g1-f-05	0001	bud,	be.pst.3sg	predex	predex				
persian	g1-f-05	0001	mesle	like	other	other				
persian	g1-f-05	0001	yek	one	ln_deti	ln_deti				
persian	g1-f-05	0001	bāq	garden	np:s	np		s		
persian	g1-f-05	0001	#rc	#rc	#rc	#rc				
persian	g1-f-05	0001	ke	that	ke	ke				
persian	g1-f-05	0001	pore	full.of	other:pred	other		pred		
persian	g1-f-05	0001	deraxte	tree=ezafe	rn_lex	rn_lex				
persian	g1-f-05	0001	sib	apple	rn_lex	rn_lex				
persian	g1-f-05	0001	bud	be.pst.3sg	cop	cop				
persian	g1-f-05	0002	#	#	#	#				
persian	g1-f-05	0002	bad	then	other	other				
persian	g1-f-05	0002	yek	one	ln_deti	ln_deti				
persian	g1-f-05	0002	āqāyi	man.indef	np.h:s	np	h	s		
persian	g1-f-05	0002	#	#	#neg	#neg				
persian	g1-f-05	0002	ke	that	ke	ke				
persian	g1-f-05	0002	hālā	now	other	other				
persian	g1-f-05	0002	0	0	0.1:a	0	1	a		
persian	g1-f-05	0002	nemidānam	neg.know.prs.indic.1sg	v:pred	v		pred		
persian	g1-f-05	0002	#rc	#rc	#rc	#rc				
persian	g1-f-05	0002	sāhebe	owner=ezafe	np.h:pred	np	h	pred		
persian	g1-f-05	0002	ān	that	rn_dem	rn_dem				
persian	g1-f-05	0002	bāq	garden	rn_lex	rn_lex				
persian	g1-f-05	0002	bud	be.pst.3sg	cop	cop				
persian	g1-f-05	0002	yā	or	other	other				
persian	g1-f-05	0002	%	%	%	%				
persian	g1-f-05	0002	yek	one	ln_deti	ln_deti				
persian	g1-f-05	0002	mardome	people=ezafe	np.h:pred	np	h	pred		
persian	g1-f-05	0002	ādi	ordinary	rn_lex	rn_lex				
persian	g1-f-05	0002	bud	be.pst.3sg	cop	cop				
persian	g1-f-05	0002	#	#	#	#				
persian	g1-f-05	0002	rafte	go.pst.ptcp	v:pred	v		pred		
persian	g1-f-05	0002	bud	aux.pst.3sg	aux	aux				
persian	g1-f-05	0002	bālāye	top.of	adp	adp				
persian	g1-f-05	0002	ān	that	ln_dem	ln_dem				
persian	g1-f-05	0002	deraxt	tree	np:l	np		l		
persian	g1-f-05	0003	#	#	#	#				
persian	g1-f-05	0003	0	0	0.h:a	0	h	a		
persian	g1-f-05	0003	sibhā	apple.pl	np:p	np		p		
persian	g1-f-05	0003	=rā	=acc	=acc_rn	=acc_rn				
persian	g1-f-05	0003	az	from	adp	adp				
persian	g1-f-05	0003	ruye	on	adp	adp				
persian	g1-f-05	0003	deraxt	tree	np:l	np		l		
persian	g1-f-05	0003	mičid	pick.pst.indic.3sg	v:pred	v		pred		
persian	g1-f-05	0003	va	and	other	other				
persian	g1-f-05	0003	#	#	#	#				
persian	g1-f-05	0003	0	0	0.h:a	0	h	a		
persian	g1-f-05	0003	hame	whole	qu_np:p	qu_np		p		
persian	g1-f-05	0003	=rā	=acc	=acc_rn	=acc_rn				
persian	g1-f-05	0003	rixte	pour.pst.ptcp	v:pred	v		pred		
persian	g1-f-05	0003	bud	aux.pst.3sg	aux	aux				
persian	g1-f-05	0003	tuye	inside	adp	adp				
persian	g1-f-05	0003	se	three	ln_qu	ln_qu				
persian	g1-f-05	0003	tā	piece	class_np:g	class_np		g		
persian	g1-f-05	0003	az	from	rn_adp	rn_adp				
persian	g1-f-05	0003	in	this	rn_dem	rn_dem				
persian	g1-f-05	0003	sabadhā	basket.pl	rn_np:obl	rn_np		obl		
