corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	reflex
persian	g2-m-08	0001	#	#	#	#				
persian	g2-m-08	0001	Ebtedā	beginning	other	other				
persian	g2-m-08	0001	ke	that	ke	ke				
persian	g2-m-08	0001	aval	first	other	other				
persian	g2-m-08	0001	=aš	=poss.3sg	=pro:poss	=pro		poss		
persian	g2-m-08	0001	yek	one	ln_deti	ln_deti				
persian	g2-m-08	0001	bāqbān	gardner	np.h:s	np	h	s		
persian	g2-m-08	0001	bud	be.pst.3sg	predex	predex				
persian	g2-m-08	0001	#	#	#	#				
persian	g2-m-08	0001	bālāye	top.of	adp	adp				
persian	g2-m-08	0001	deraxt	tree	np:l	np		l		
persian	g2-m-08	0001	0	0	0.h:a	0	h	a		
persian	g2-m-08	0001	dāšt	aux.pst.3sg	aux	aux				
persian	g2-m-08	0001	mivehāy	fruit.pl	np:p	np		p		
persian	g2-m-08	0001	=aš	=poss.3sg	=pro.h:poss	=pro	h	poss		
persian	g2-m-08	0001	=rā	=acc	=acc_rn	=acc_rn				
persian	g2-m-08	0001	mičid	pick.pst.impf.3sg	v:pred	v		pred		
persian	g2-m-08	0002	#	#	#	#				
persian	g2-m-08	0002	0	0	0.h:a	0	h	a		
persian	g2-m-08	0002	āmāde	ready	lvc	lvc				
persian	g2-m-08	0002	konad	do.prs.subj.3sg	v:pred	v		pred		
persian	g2-m-08	0002	0	0	0:p	0		p		
persian	g2-m-08	0002	#	#	#	#				
persian	g2-m-08	0002	0	0	0.h:a	0	h	a		
persian	g2-m-08	0002	bebarad	take.prs.subj.3sg	v:pred	v		pred		
persian	g2-m-08	0002	0	0	0:p	0		p		
persian	g2-m-08	0002	#	#	#	#				
persian	g2-m-08	0002	0	0	0.h:a	0	h	a		
persian	g2-m-08	0002	befrušad	sell.prs.subj.3sg	v:pred	v		pred		
persian	g2-m-08	0002	0	0	0:p	0		p		
persian	g2-m-08	0003	#	#	#	#				
persian	g2-m-08	0003	bad	then	other	other				
persian	g2-m-08	0003	=aš	=poss.3sg	other	other				
persian	g2-m-08	0003	yek	NC	nc	nc				
persian	g2-m-08	0003	dāne,	NC	nc	nc				
persian	g2-m-08	0003	0	0	0.1:a	0	1	a		
persian	g2-m-08	0003	az	from	adp	adp				
persian	g2-m-08	0003	samte	direction	other	other				
persian	g2-m-08	0003	digar	other	other	other				
persian	g2-m-08	0003	mardi	man.indef	np.h:p	np	h	p		
persian	g2-m-08	0003	bā	with	adp	adp				
persian	g2-m-08	0003	yek	one	ln_deti	ln_deti				
persian	g2-m-08	0003	bozqāle	goat	np:obl	np		obl		
persian	g2-m-08	0003	=rā	=acc	=acc_rn	=acc_rn				
persian	g2-m-08	0003	didam	see.pst.1sg	v:pred	v		pred		
persian	g2-m-08	0004	#	#	#	#				
persian	g2-m-08	0004	0	0	0.h:s	0	h	s		
persian	g2-m-08	0004	az	from	adp	adp				
persian	g2-m-08	0004	kenāre	side	adp	adp				
persian	g2-m-08	0004	mivehā	fruit.pl	np:l	np		l		
persian	g2-m-08	0004	=yešān	=poss.3pl	=pro.h:poss	=pro	h	poss		
persian	g2-m-08	0004	be	with	other	other				
persian	g2-m-08	0004	zur	force	other	other				
persian	g2-m-08	0004	rad	passing	lvc	lvc				
persian	g2-m-08	0004	šod	become.pst.3sg	v:pred	v		pred		
persian	g2-m-08	0004	#	#	#	#				
persian	g2-m-08	0004	čon	because	other	other				
persian	g2-m-08	0004	bozqāle	goat	np:a	np		a		
persian	g2-m-08	0004	mixāst	want.pst.indic.3sg	aux	aux				
persian	g2-m-08	0004	mivehāye	fruit.pl	np:p	np		p		
persian	g2-m-08	0004	=šān	=poss.3pl	=pro.h:poss	=pro	h	poss		
persian	g2-m-08	0004	=rā	=acc	=acc_rn	=acc_rn				
persian	g2-m-08	0004	boxorad	eat.prs.subj.3sg	v:pred	v		pred		
persian	g2-m-08	0005	#	#	#	#				
persian	g2-m-08	0005	bad	after	other	other				
persian	g2-m-08	0005	=aš	=poss.3sg	other	other				
persian	g2-m-08	0005	yek	one	ln_deti	ln_deti				
persian	g2-m-08	0005	pesarake	little.boy=ezafe	np.h:s	np	h	s		
persian	g2-m-08	0005	dočarxesavār	rider	rn_lex	rn_lex				
persian	g2-m-08	0005	āmad	come.pst.3sg	v:pred	v		pred		
persian	g2-m-08	0006	#	#	#	#				
persian	g2-m-08	0006	pesare	boy=ezafe	np.h:s	np	h	s		
persian	g2-m-08	0006	dočarxesavār	rider	rn_lex	rn_lex				
persian	g2-m-08	0006	ke	that	ke	ke				
persian	g2-m-08	0006	āmad	come.pst.3sg	v:pred	v		pred		
persian	g2-m-08	0006	#	#	#	#				
persian	g2-m-08	0006	in	this	ln_dem	ln_dem				
persian	g2-m-08	0006	mard	man	np.h:a	np	h	a		
persian	g2-m-08	0006	se	three	ln_qu	ln_qu				
persian	g2-m-08	0006	tā	piece	ln_class	ln_class				
persian	g2-m-08	0006	sabad	basket	np:p	np		p		
persian	g2-m-08	0006	mive	fruit	rn_lex	rn_lex				
persian	g2-m-08	0006	gozāšte	put.pst.ptcp	v:pred	v		pred		
persian	g2-m-08	0006	bud	aux.pst.3sg	aux	aux				
persian	g2-m-08	0006	pāyine	down.of	adp	adp				
persian	g2-m-08	0006	deraxt	tree	np:l	np		l		
persian	g2-m-08	0006	#	#	#	#				
persian	g2-m-08	0006	xod	self	refl.h:a	refl	h	a		
persian	g2-m-08	0006	=aš	=poss.3sg	=pro.h:poss	=pro	h	poss		
persian	g2-m-08	0006	bālāye	top.of	adp	adp				
persian	g2-m-08	0006	deraxt	tree	np:l	np		l		
persian	g2-m-08	0006	dāšt	aux.pst.3sg	aux	aux				
persian	g2-m-08	0006	mive	fruit	np:p	np		p		
persian	g2-m-08	0006	mičid	pick.pst.impf.3sg	v:pred	v		pred		
persian	g2-m-08	0007	#	#	#	#				
persian	g2-m-08	0007	bad	then	other	other				
persian	g2-m-08	0007	0	0	0.h:a	0	h	a		
persian	g2-m-08	0007	yeki	one	ind_pro:p	ind_pro		p		
persian	g2-m-08	0007	az	from	rn_adp	rn_adp				
persian	g2-m-08	0007	sabadhā	basket=pl	rn_np:obl	rn_np		obl		
persian	g2-m-08	0007	=rā	=acc	=acc_rn	=acc_rn				
persian	g2-m-08	0007	be	to	other	other				
persian	g2-m-08	0007	surate	like	other	other				
persian	g2-m-08	0007	qāyemaki	secretly	other	other				
persian	g2-m-08	0007	bardāšt	pick.pst.3sg	v:pred	v		pred		
persian	g2-m-08	0007	#	#	#	#				
persian	g2-m-08	0007	0	0	0.h:a	0	h	a		
persian	g2-m-08	0007	bā	with	adp	adp				
persian	g2-m-08	0007	dočarxe	bike	np:obl	np		obl		
persian	g2-m-08	0007	=aš	=poss.3sg	=pro.h:poss	=pro	h	poss		
persian	g2-m-08	0007	bord	take.pst.3sg	v:pred	v		pred		
persian	g2-m-08	0007	0	0	0:p	0		p		
persian	g2-m-08	0007	#	#	#	#				
persian	g2-m-08	0007	0	0	0.h:s	0	h	s		
persian	g2-m-08	0007	vasate	middle	adp	adp				
persian	g2-m-08	0007	rāh	way	np:l	np		l		
persian	g2-m-08	0007	ke	that	ke	ke				
persian	g2-m-08	0007	miraft	go.pst.indic.3sg	v:pred	v		pred		
persian	g2-m-08	0008	#	#	#	#				
persian	g2-m-08	0008	yek	one	ln_deti	ln_deti				
persian	g2-m-08	0008	doxtarxānumi	girl	np.h:s	np	h	s		
persian	g2-m-08	0008	dāšt	aux.pst.3sg	aux	aux				
persian	g2-m-08	0008	bā	with	adp	adp				
persian	g2-m-08	0008	dočarxe	bike	np:obl	np		obl		
persian	g2-m-08	0008	miyāmad	come.pst.impf.3sg	v:pred	v		pred		
persian	g2-m-08	0009	#	#	#	#				
persian	g2-m-08	0009	ke	that	ke	ke				
persian	g2-m-08	0009	0	0	0.h:ncs	0	h	ncs		
persian	g2-m-08	0009	havās	attention	lvc	lvc				
