corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
persian	g2-m-13	0001	#	#	#	#				
persian	g2-m-13	0001	Yek	one	ln_deti	ln_deti				
persian	g2-m-13	0001	mardi	man.INDF	np.h:s	np	h	s		
persian	g2-m-13	0001	rafte	go.PST.PTCP	v:pred	v		pred		
persian	g2-m-13	0001	bud	AUX.PST.3SG	aux	aux				
persian	g2-m-13	0001	bālāye	top.of	adp	adp				
persian	g2-m-13	0001	deraxt	tree	np:l	np		l		
persian	g2-m-13	0001	#	#	#	#				
persian	g2-m-13	0001	0	0	0.h:a	0	h	a		
persian	g2-m-13	0001	dašt	AUX.PST.3SG	aux	aux				
persian	g2-m-13	0001	golābi	pear	np:p	np		p		
persian	g2-m-13	0001	mičid	pick.PST.IPFV.3SG	v:pred	v		pred		
persian	g2-m-13	0002	#	#	#	#				
persian	g2-m-13	0002	0	0	0.h:a	0	h	a		
persian	g2-m-13	0002	dar	in	other	other				
persian	g2-m-13	0002	hāle	condition	other	other				
persian	g2-m-13	0002	čidane	picking	vother	vother				
persian	g2-m-13	0002	golābi	pear	np:p	np		p		
persian	g2-m-13	0002	bud	be.PST.3SG	cop	cop				
persian	g2-m-13	0002	#	#	#	#				
persian	g2-m-13	0002	ke	that	ke	ke				
persian	g2-m-13	0002	yek	one	ln_qu	ln_qu				
persian	g2-m-13	0002	dāne	piece	class_np:s	class_np		s		
persian	g2-m-13	0002	=aš	=PRO.3SG	=pro:obl	=pro		obl		
persian	g2-m-13	0002	mioftad	fall.PRS.IND.3SG	v:pred	v		pred		
persian	g2-m-13	0002	pāyin	down	rv	rv				
persian	g2-m-13	0003	#	#	#neg	#neg				
persian	g2-m-13	0003	0	0	0:s	0		s		
persian	g2-m-13	0003	tuye	inside	adp	adp				
persian	g2-m-13	0003	sabadhā	basket.PL	np:l	np		l		
persian	g2-m-13	0003	nemioftad	NEG.fall.PRS.IND.3SG	v:pred	v		pred		
persian	g2-m-13	0003	#	#	#	#				
persian	g2-m-13	0003	bad	then	other	other				
persian	g2-m-13	0003	0	0	0.h:s	0	h	s		
persian	g2-m-13	0003	az	from	adp	adp				
persian	g2-m-13	0003	nardebān	ladder	np:obl	np		obl		
persian	g2-m-13	0003	miāyad	come.PRS.IND.3SG	v:pred	v		pred		
persian	g2-m-13	0003	pāyin	down	rv	rv				
persian	g2-m-13	0004	#	#	#	#				
persian	g2-m-13	0004	mivehāyi	fruit.PL.INDF	np:p	np		p		
persian	g2-m-13	0004	#	#	#rc	#rc				
persian	g2-m-13	0004	ke	that	ke	ke				
persian	g2-m-13	0004	0	0	0.h:a	0	h	a		
persian	g2-m-13	0004	tuye	in	adp	adp				
persian	g2-m-13	0004	pirāhan	shirt	np:g	np		g		
persian	g2-m-13	0004	=aš	=POSS.3SG	=rn_pro.h:poss	=rn_pro	h	poss		
persian	g2-m-13	0004	rixte	pour.PST.PTCP	v:pred	v		pred		
persian	g2-m-13	0004	bud	AUX.PST.3SG	aux	aux				
persian	g2-m-13	0004	%	%	%	%				
persian	g2-m-13	0004	mirizad	spill.PRS.IND.3SG	v:pred	v		pred		
persian	g2-m-13	0004	tuye	in	adp	adp				
persian	g2-m-13	0004	sabad	basket	np:g	np		g		
persian	g2-m-13	0005	#	#	#	#				
persian	g2-m-13	0005	bad	then	other	other				
persian	g2-m-13	0005	āni	the.one	pro:p	pro		p		
persian	g2-m-13	0005	#	#	#rc	#rc				
persian	g2-m-13	0005	ke	that	ke	ke				
persian	g2-m-13	0005	oftāde	fall.PST.PTCP	v:pred	v		pred		
persian	g2-m-13	0005	bud	AUX.PST.3SG	aux	aux				
persian	g2-m-13	0005	pāyin	down	rv	rv				
persian	g2-m-13	0005	%	%	%	%				
persian	g2-m-13	0005	=rā	=ACC	=rn_acc	=rn_acc				
persian	g2-m-13	0005	0	0	0.h:a	0	h	a		
persian	g2-m-13	0005	migirad	get.PRS.IND.3SG	v:pred	v		pred		
persian	g2-m-13	0005	#	#	#	#				
persian	g2-m-13	0005	0	0	0.h:a	0	h	a		
persian	g2-m-13	0005	tamiz	clean	other:lvc	other		lvc		
persian	g2-m-13	0005	=aš	=PRO.3SG	=pro:p	=pro		p		
persian	g2-m-13	0005	mikonad	do.PRS.IND.3SG	v:pred	v		pred		
persian	g2-m-13	0006	#	#	#	#				
persian	g2-m-13	0006	0	0	0.h:a	0	h	a		
persian	g2-m-13	0006	ān	that	pro:p	pro		p		
persian	g2-m-13	0006	ham	add	other	other				
persian	g2-m-13	0006	migozārad	put.PRS.IND.3SG	v:pred	v		pred		
persian	g2-m-13	0006	tuye	in	adp	adp				
persian	g2-m-13	0006	sabad	basket	np:l	np		l		
persian	g2-m-13	0006	#	#	#	#				
persian	g2-m-13	0006	0	0	0.h:s	0	h	s		
persian	g2-m-13	0006	dobāre	again	other	other				
persian	g2-m-13	0006	miravad	go.PRS.IND.3SG	v:pred	v		pred		
persian	g2-m-13	0006	bālā	up	rv	rv				
persian	g2-m-13	0006	#	#	#cc	#cc				
persian	g2-m-13	0006	ke	that	ke	ke				
persian	g2-m-13	0006	0	0	0.h:a	0	h	a		
persian	g2-m-13	0006	bečinad	pick.PRS.SBJV.3SG	v:pred	v		pred		
persian	g2-m-13	0006	0	0	0:p	0		p		
persian	g2-m-13	0007	#	#	#	#				
persian	g2-m-13	0007	Yek	one	ln_deti	ln_deti				
persian	g2-m-13	0007	dočarxesavār	bike.rider	np.h:s	np	h	s		
persian	g2-m-13	0007	dāšt	AUX.PST.3SG	aux	aux				
persian	g2-m-13	0007	rad	passing	other:lvc	other		lvc		
persian	g2-m-13	0007	mišod	become.PST.IPFV.3SG	v:pred	v		pred		
persian	g2-m-13	0007	#	#	#	#				
persian	g2-m-13	0007	0	0	0.h:a	0	h	a		
persian	g2-m-13	0007	mibinad	see.PRS.IND.3SG	v:pred	v		pred		
persian	g2-m-13	0007	#	#	#cc	#cc				
persian	g2-m-13	0007	ānjā	there	other:pred	other		pred		
persian	g2-m-13	0007	yek	one	ln_deti	ln_deti				
persian	g2-m-13	0007	sabad	basket	np:s	np		s		
persian	g2-m-13	0007	golābi	pear	rn_lex	rn_lex				
persian	g2-m-13	0007	ast	be.PRS.3SG	cop	cop				
persian	g2-m-13	0008	#	#	#	#				
persian	g2-m-13	0008	0	0	0.h:a	0	h	a		
persian	g2-m-13	0008	ān	that	pro:p	pro		p		
persian	g2-m-13	0008	=rā	=ACC	=rn_acc	=rn_acc				
persian	g2-m-13	0008	migirad	get.PRS.IND.3SG	v:pred	v		pred		
persian	g2-m-13	0008	#	#	#	#				
persian	g2-m-13	0008	0	0	0.h:a	0	h	a		
persian	g2-m-13	0008	0	0	0:p	0		p		
persian	g2-m-13	0008	migozarad	put.PRS.IND.3SG	v:pred	v		pred		
persian	g2-m-13	0008	ruye	on	adp	adp				
persian	g2-m-13	0008	čarx	bike	np:l	np		l		
persian	g2-m-13	0008	=aš	=POSS.3SG	=rn_pro.h:poss	=rn_pro	h	poss		
persian	g2-m-13	0008	#	#	#	#				
persian	g2-m-13	0008	0	0	0.h:s	0	h	s		
persian	g2-m-13	0008	savār	sitting	other:lvc	other		lvc		
persian	g2-m-13	0008	mišavad	become.PRS.IND.3SG	v:pred	v		pred		
persian	g2-m-13	0008	#	#	#	#				
persian	g2-m-13	0008	0	0	0.h:s	0	h	s		
persian	g2-m-13	0008	miravad	go.PRS.IND.3SG	v:pred	v		pred		
persian	g2-m-13	0009	#	#	#	#				
persian	g2-m-13	0009	bad	then	other	other				
persian	g2-m-13	0009	haminjuri	this.way	other	other				
persian	g2-m-13	0009	ke	that	ke	ke				
persian	g2-m-13	0009	0	0	0.h:s	0	h	s		
persian	g2-m-13	0009	dar	in	other	other				
persian	g2-m-13	0009	hāle	condition.of	other	other				
persian	g2-m-13	0009	raftan	going	vother	vother				
persian	g2-m-13	0009	ast	be.PRS.3SG	v:pred	v		pred		
persian	g2-m-13	0009	#	#	#	#				
persian	g2-m-13	0009	0	0	0.h:a	0	h	a		
persian	g2-m-13	0009	doxtari	girl.INDF	np.h:p	np	h	p		
persian	g2-m-13	0009	=rā	=ACC	=rn_acc	=rn_acc				
persian	g2-m-13	0009	mibinad	see.PRS.IND.3SG	v:pred	v		pred		
persian	g2-m-13	0009	#	#	#	#				
persian	g2-m-13	0009	0	0	0.h:s	0	h	s		
persian	g2-m-13	0009	bā	with	adp	adp				
persian	g2-m-13	0009	dočarxe	bike	np:obl	np		obl		
persian	g2-m-13	0009	dārad	AUX.PRS.3SG	aux	aux				
persian	g2-m-13	0009	rad	passing	other:lvc	other		lvc		
persian	g2-m-13	0009	mišavad	become.PRS.IND.3SG	v:pred	v		pred		
persian	g2-m-13	0010	#	#	#	#				
persian	g2-m-13	0010	0	0	0.h:a	0	h	a		
persian	g2-m-13	0010	yek	one	other	other				
persian	g2-m-13	0010	lahze	moment	other	other				
persian	g2-m-13	0010	ke	that	ke	ke				
persian	g2-m-13	0010	negāh	look	other:lvc	other		lvc		
persian	g2-m-13	0010	=aš	=PRO.3SG	=pro.h:p	=pro	h	p		
persian	g2-m-13	0010	mikonad	do.PRS.IND.3SG	v:pred	v		pred		
persian	g2-m-13	0010	#	#	#	#				
persian	g2-m-13	0010	yek	one	ln_deti	ln_deti				
persian	g2-m-13	0010	sangi	stone	np:s	np		s		
persian	g2-m-13	0010	tuye	in	adp	adp				
persian	g2-m-13	0010	jade	road	np:l	np		l		
persian	g2-m-13	0010	bude	be.PST.3SG	predex	predex				
persian	g2-m-13	0010	#	#	#	#				
persian	g2-m-13	0010	bad	then	other	other				
persian	g2-m-13	0010	0	0	0.h:s	0	h	s		
persian	g2-m-13	0010	mixorad	eat.PRS.IND.3SG	v:pred	v		pred		
persian	g2-m-13	0010	zamin	ground	other:lvc	other		lvc		
persian	g2-m-13	0011	#	#	#	#				
persian	g2-m-13	0011	bad	then	other	other				
persian	g2-m-13	0011	čand	a.few	ln_qu	ln_qu				
persian	g2-m-13	0011	tā	piece	class_np.h:s	class_np	h	s		
persian	g2-m-13	0011	miāyand,	come.PRS.IND.3PL	v:pred	v		pred		
persian	g2-m-13	0011	čand	a.few	ln_qu	ln_qu				
persian	g2-m-13	0011	nafar	person	np.h:dt	np	h	dt		
persian	g2-m-13	0011	#	#	#	#				
persian	g2-m-13	0011	0	0	0.1:a	0	1	a		
persian	g2-m-13	0011	nemidānam	NEG.know.PRS.IND.1SG	v:pred	v		pred		
persian	g2-m-13	0011	#	#	#	#				
persian	g2-m-13	0011	0	0	0.h:s	0	h	s		
persian	g2-m-13	0011	dustān	friend.PL	np.h:pred	np	h	pred		
persian	g2-m-13	0011	=aš	=POSS.3SG	=rn_pro.h:poss	=rn_pro	h	poss		
persian	g2-m-13	0011	budand	be.PST.3PL	cop	cop				
persian	g2-m-13	0011	#	#	#	#				
persian	g2-m-13	0011	0	0	0.h:s_cp	0	h	s_cp		
persian	g2-m-13	0011	dāštand	AUX.PST.3PL	aux	aux				
persian	g2-m-13	0011	bāzi	playing	other:lvc	other		lvc		
persian	g2-m-13	0011	mikardand	do.PST.IPFV.3PL	v:pred	v		pred		
persian	g2-m-13	0011	ānjā	there	other:l	other		l		
persian	g2-m-13	0011	#	#	#	#				
persian	g2-m-13	0011	0	0	0.h:a	0	h	a		
persian	g2-m-13	0011	miāyand	come.PRS.PROSP.3PL	aux	aux				
persian	g2-m-13	0011	komak	help	other:lvc	other		lvc		
persian	g2-m-13	0011	=aš	=POSS.3SG	=pro.h:p	=pro	h	p		
persian	g2-m-13	0011	mikonand	do.PRS.IND.3PL	v:pred	v		pred		
persian	g2-m-13	0012	#	#	#	#				
