ID,Name,Description,Contributor,Citation,Text_Number,Media_IDs,Clause_Count,Speaker,Speaker_Gender,Speaker_Age,Speaker_Age_Approximated,Speaker_Year_Born,Speaker_Year_Born_Approximated,Type,Year_Recorded,Recording_Length,Source
g1-f-01,g1-f-01,,Shirin Adibifar,"Adibifar, Shirin. 2016. Multi-CAST Persian. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 1606. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#persian) (date accessed)",1,g1-f-01_mp3 g1-f-01_wav g1-f-01_eaf g1-f-01_xml g1-f-01_tsv,19,PS01,female,39,no,1976,no,SN,2015,94.66775510204081,chafe1980
g1-f-02,g1-f-02,,Shirin Adibifar,"Adibifar, Shirin. 2016. Multi-CAST Persian. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 1606. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#persian) (date accessed)",2,g1-f-02_mp3 g1-f-02_wav g1-f-02_eaf g1-f-02_xml g1-f-02_tsv,27,PS02,female,29,no,1986,no,SN,2015,130.6122448979592,chafe1980
g1-f-05,g1-f-05,,Shirin Adibifar,"Adibifar, Shirin. 2016. Multi-CAST Persian. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 1606. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#persian) (date accessed)",3,g1-f-05_mp3 g1-f-05_wav g1-f-05_eaf g1-f-05_xml g1-f-05_tsv,21,PS05,female,26,no,1989,no,SN,2015,135.22063492063492,chafe1980
g1-f-07,g1-f-07,,Shirin Adibifar,"Adibifar, Shirin. 2016. Multi-CAST Persian. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 1606. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#persian) (date accessed)",4,g1-f-07_mp3 g1-f-07_wav g1-f-07_eaf g1-f-07_xml g1-f-07_tsv,16,PS07,female,25,no,1990,no,SN,2015,65.48027210884354,chafe1980
g1-f-08,g1-f-08,,Shirin Adibifar,"Adibifar, Shirin. 2016. Multi-CAST Persian. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 1606. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#persian) (date accessed)",5,g1-f-08_mp3 g1-f-08_wav g1-f-08_eaf g1-f-08_xml g1-f-08_tsv,20,PS08,female,25,no,1990,no,SN,2015,100.58884353741496,chafe1980
g1-f-09,g1-f-09,,Shirin Adibifar,"Adibifar, Shirin. 2016. Multi-CAST Persian. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 1606. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#persian) (date accessed)",6,g1-f-09_mp3 g1-f-09_wav g1-f-09_eaf g1-f-09_xml g1-f-09_tsv,34,PS09,female,25,no,1990,no,SN,2015,269.62734693877553,chafe1980
g1-f-10,g1-f-10,,Shirin Adibifar,"Adibifar, Shirin. 2016. Multi-CAST Persian. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 1606. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#persian) (date accessed)",7,g1-f-10_mp3 g1-f-10_wav g1-f-10_eaf g1-f-10_xml g1-f-10_tsv,30,PS10,female,31,no,1984,no,SN,2015,199.31925170068027,chafe1980
g1-f-11,g1-f-11,,Shirin Adibifar,"Adibifar, Shirin. 2016. Multi-CAST Persian. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 1606. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#persian) (date accessed)",8,g1-f-11_mp3 g1-f-11_wav g1-f-11_eaf g1-f-11_xml g1-f-11_tsv,21,PS11,female,33,no,1982,no,SN,2015,102.88761904761905,chafe1980
g1-f-12,g1-f-12,,Shirin Adibifar,"Adibifar, Shirin. 2016. Multi-CAST Persian. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 1606. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#persian) (date accessed)",9,g1-f-12_mp3 g1-f-12_wav g1-f-12_eaf g1-f-12_xml g1-f-12_tsv,14,PS12,female,33,no,1982,no,SN,2015,105.6043537414966,chafe1980
g1-f-14,g1-f-14,,Shirin Adibifar,"Adibifar, Shirin. 2016. Multi-CAST Persian. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 1606. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#persian) (date accessed)",10,g1-f-14_mp3 g1-f-14_wav g1-f-14_eaf g1-f-14_xml g1-f-14_tsv,33,PS14,female,29,no,1986,no,SN,2015,183.20544217687075,chafe1980
g1-m-03,g1-m-03,,Shirin Adibifar,"Adibifar, Shirin. 2016. Multi-CAST Persian. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 1606. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#persian) (date accessed)",11,g1-m-03_mp3 g1-m-03_wav g1-m-03_eaf g1-m-03_xml g1-m-03_tsv,11,PS03,male,22,no,1993,no,SN,2015,45.55755102040816,chafe1980
